Lat,Long
38.646434,-90.26485
38.646434,-90.26485
38.652984,-90.20108
38.607878,-90.2221
38.607878,-90.2221
38.607878,-90.2221
38.627714,-90.249994
38.627714,-90.249994
38.655824,-90.22954
38.655824,-90.22954
38.671037,-90.284564
38.627427,-90.25135
38.627427,-90.25135
38.623683,-90.19192
38.62264,-90.218346
38.590347,-90.223413
38.590347,-90.223413
38.695306,-90.24289
38.572242,-90.24301
38.572242,-90.24301
38.62373,-90.19654
38.645512,-90.19325
38.579302,-90.26237
38.579302,-90.26237
38.579302,-90.26237
38.579302,-90.26237
38.579302,-90.26237
38.659897,-90.26198
38.586341,-90.295906
38.603985,-90.22533
38.647061,-90.19115
38.617194,-90.23652
38.573861,-90.259779
38.573861,-90.259779
38.629806,-90.257361
38.629806,-90.257361
38.630756,-90.189774
38.665123,-90.243154
38.651391,-90.248157
38.651391,-90.248157
38.629176,-90.20211
38.629176,-90.20211
38.587112,-90.22536
38.683233,-90.255795
38.683233,-90.255795
38.655535,-90.19507
38.671186,-90.202897
38.629904,-90.192264
38.629904,-90.192264
38.750764,-90.193632
38.586524,-90.27596
38.586524,-90.27596
38.675314,-90.232238
38.558196,-90.24948
38.599239,-90.23848
38.592332,-90.24469
38.592332,-90.24469
38.592332,-90.24469
38.592332,-90.24469
38.592332,-90.24469
38.592332,-90.24469
38.592332,-90.24469
38.663898,-90.242727
38.623396,-90.19737
38.630959,-90.19828
38.57743,-90.23375
38.57743,-90.23375
38.673231,-90.265212
38.574041,-90.28112
38.70147,-90.24891
38.70147,-90.24891
38.593301,-90.265743
38.573668,-90.245179
38.573668,-90.245179
38.6697,-90.23628
38.630936,-90.19272
38.630936,-90.19272
38.703459,-90.2547
38.673226,-90.203866
38.601886,-90.26123
38.644884,-90.26024
38.594881,-90.22947
38.591534,-90.243296
38.613643,-90.221169
38.685181,-90.217081
38.628655,-90.25096
38.628655,-90.25096
38.659815,-90.2545
38.62839,-90.194018
38.595419,-90.2402
38.574033,-90.281265
38.574033,-90.281265
38.574033,-90.281265
38.574033,-90.281265
38.609044,-90.26833
38.589048,-90.235571
38.646012,-90.192938
38.612642,-90.237661
38.644244,-90.26366
38.616773,-90.25712
38.616773,-90.25712
38.624832,-90.202903
38.624832,-90.202903
38.557162,-90.265264
38.557162,-90.265264
38.661725,-90.2313
38.670884,-90.207821
38.540744,-90.265115
38.660884,-90.20757
38.603049,-90.247399
38.606641,-90.22344
38.655021,-90.298493
38.655021,-90.298493
38.599628,-90.298
38.582282,-90.223977
38.582282,-90.223977
38.605963,-90.22784
38.627492,-90.254474
38.627492,-90.254474
38.589862,-90.229448
38.631544,-90.19486
38.631544,-90.19486
38.638736,-90.23044
38.720934,-90.234798
38.720934,-90.234798
38.6525,-90.263765
38.6525,-90.263765
38.627492,-90.254474
38.627492,-90.254474
38.628835,-90.19435
38.633741,-90.206471
38.648052,-90.259888
38.648052,-90.259888
38.634768,-90.26282
38.633833,-90.209182
38.633833,-90.209182
38.633833,-90.209182
38.668573,-90.205909
38.601772,-90.22051
38.686475,-90.239155
38.592664,-90.227696
38.573619,-90.29299
38.637601,-90.24384
38.637601,-90.24384
38.607462,-90.27219
38.630703,-90.188012
38.630703,-90.188012
38.62645,-90.25879
38.62645,-90.25879
38.652559,-90.28275
38.577494,-90.27471
38.589862,-90.229448
38.712295,-90.23472
38.559297,-90.275537
38.614121,-90.199633
38.614121,-90.199633
38.722599,-90.2332
38.671479,-90.234357
38.67024,-90.2446
38.574783,-90.27308
38.669423,-90.24396
38.602264,-90.260528
38.602264,-90.260528
38.66996,-90.24052
38.626752,-90.19012
38.670908,-90.23986
38.66713,-90.24007
38.633708,-90.21074
38.673645,-90.24032
38.648163,-90.226
