Lat,Long
38.55871,-90.28439
38.720774,-90.307819
38.71876,-90.260387
38.71423,-90.25485
38.549225,-90.272713
38.718146,-90.252413
38.75344,-90.210567
38.75344,-90.210567
38.603085,-90.344308
38.540407,-90.303952
38.655889,-90.300149
38.589154,-90.31763
38.697841,-90.26702
38.654933,-90.328615
38.654933,-90.328615
38.654933,-90.328615
38.654933,-90.328615
38.654933,-90.328615
38.704991,-90.259066
38.701616,-90.262924
38.701616,-90.262924
38.701616,-90.262924
38.586161,-90.343035
38.580495,-90.372665
38.530949,-90.27713
38.700444,-90.26399
38.701982,-90.263788
38.716639,-90.25238
38.738098,-90.27843
38.587744,-90.339493
38.780496,-90.204018
38.780496,-90.204018
38.715183,-90.254018
38.700444,-90.26399
38.700444,-90.26399
38.700444,-90.26399
38.700444,-90.26399
38.700444,-90.26399
38.587172,-90.332236
38.587172,-90.332236
38.825103,-90.212177
38.825103,-90.212177
38.62965,-90.333144
38.608567,-90.315197
38.608567,-90.315197
38.701901,-90.2635
38.685643,-90.288161
38.654811,-90.30052
38.71119,-90.257409
38.66281,-90.301565
38.540407,-90.303952
38.658072,-90.29967
38.701447,-90.26329
38.701447,-90.26329
38.74822,-90.329783
38.74822,-90.329783
38.655812,-90.300727
38.701087,-90.26182
38.690921,-90.336047
38.690921,-90.336047
38.603213,-90.423276
38.690362,-90.273521
38.67049,-90.28984
38.67049,-90.28984
38.727077,-90.263791
38.623668,-90.30815
38.538838,-90.374713
38.65847,-90.329892
38.624107,-90.308058
38.624107,-90.308058
38.707517,-90.276119
38.626622,-90.30257
38.626519,-90.30268
38.728561,-90.2238
38.713718,-90.254875
38.713718,-90.254875
38.609792,-90.3129
38.505185,-90.313256
38.702199,-90.2642
38.698569,-90.265986
38.636178,-90.30556
38.689451,-90.27498
38.725678,-90.23234
38.725678,-90.23234
38.725678,-90.23234
38.725678,-90.23234
38.653143,-90.314602
38.699601,-90.2591
38.710323,-90.312481
38.609143,-90.31301
38.675113,-90.28517
38.700233,-90.26607
38.73124,-90.335651
38.739853,-90.304528
38.715201,-90.25367
38.713877,-90.25533
38.662311,-90.309642
38.662311,-90.309642
38.482941,-90.357652
38.482941,-90.357652
38.658484,-90.29917
38.656284,-90.301551
38.689451,-90.27498
38.700624,-90.26407
38.629804,-90.332884
38.629804,-90.332884
38.714697,-90.2535
38.714697,-90.2535
38.721404,-90.24479
38.741566,-90.20431
38.741566,-90.20431
38.601955,-90.350655
38.729269,-90.22386
38.585433,-90.31458
38.68545,-90.2877
38.711075,-90.25772
38.709539,-90.258621
38.755493,-90.193416
38.703718,-90.25997
38.62962,-90.332557
38.655889,-90.300149
38.655889,-90.300149
38.728771,-90.224284
38.728771,-90.224284
38.728771,-90.224284
38.62962,-90.332557
38.720112,-90.244551
38.700935,-90.270664
38.700935,-90.270664
38.700935,-90.270664
38.700935,-90.270664
38.700935,-90.270664
38.745984,-90.203264
38.745984,-90.203264
38.745984,-90.203264
38.629804,-90.332884
38.704812,-90.25838
38.704812,-90.25838
38.704812,-90.25838
38.654338,-90.337685
38.65847,-90.329892
38.64408,-90.4247
38.748858,-90.303338
